latlon,planning_area_id
52.5508691_13.4130104,03601141
52.5521986_13.4060832,03601141
52.5475939_13.410429,03601142
52.4789136_13.5242352,11501341
52.5265906_13.3411376,01200520
52.4942314_13.3989897,02200210
52.5510487_13.4061181,03601141
52.5311875_13.3846781,01100415
52.5226653_13.378941,01100308
52.5257115_13.3906909,01100309
52.5218889_13.3519063,01200626
52.4841019_13.4346868,08100314
52.4375245_13.456755,08401139
52.4266586_13.3293034,06200422
52.4267053_13.3292739,06200422
52.4803301_13.3314636,04501153
52.4385922_13.5496009,09200717
52.5346572_13.6095403,10200524
52.488443_13.3525351,07200409
52.504363_13.3409675,07100101
52.5069998_13.467787,02500834
52.4280827_13.3287609,06200422
52.4838433_13.362203,07200413
52.4854446_13.3824177,02200209
52.492138_13.366436,07100206
52.5516924_13.4480931,03500935
52.5102279_13.3237857,04300624
52.4942657_13.3635302,07100205
52.5283903_13.3867211,01100415
52.4889845_13.278031,04400726
52.588185_13.331228,12500926
52.5053375_13.3265501,04300622
52.4631947_13.3393849,06100210
52.5054207_13.5155864,11401137
52.5104734_13.5048089,11400931
52.48501_13.4267484,08100206
52.4551335_13.1449198,05400944
52.5665888_13.3462534,12100204
52.4276177_13.3272341,06200422
52.4746423_13.3395432,07300618
52.500463_13.4317524,02300315
52.5260999_13.3876281,01100309
52.4717302_13.3349803,07300517
52.470012_13.333345,07300517
52.5314432_13.4132786,03701556
52.5127157_13.4957951,11300725
52.543439_13.4119353,03601142
52.4286741_13.3289149,06200422
52.5039053_13.5124842,11401136
52.546524_13.4186345,03601347
52.5187914_13.3871576,01100206
52.4940397_13.4597423,09100101
52.4940415_13.4598751,09100101
52.4939905_13.4597215,09100101
52.4939923_13.4598581,09100101
52.493994_13.4599919,09100101
52.4939429_13.4598323,09100101
52.4939443_13.4599399,09100101
52.4939458_13.4600557,09100101
52.4992727_13.4794097,11501238
52.4827147_13.5268596,11501340
52.4599025_13.4356684,08200622
52.5536115_13.3822186,01401045
52.5535903_13.38223,01401045
52.5536421_13.3822743,01401045
52.5536955_13.3822521,01401045
52.5016895_13.4565437,02500835
52.5360875_13.4271361,03701658
52.5300852_13.4619077,11300616
52.4788622_13.5242269,11501341
52.4788507_13.5242876,11501341
52.4216199_13.3347507,06200422
52.4556224_13.386398,07400927
52.5254773_13.3049719,04300518
52.4995464_13.5071982,11401136
52.446644_13.3846612,07501030
52.4993184_13.5070883,11401136
52.4978889_13.509816,11401136
52.4978354_13.5097928,11401136
52.4807278_13.4350868,08100206
52.5404905_13.4114095,03701554
52.5594758_13.3767047,01300730
52.5266702_13.339727,01200520
52.4528885_13.5700689,09501939
52.472005_13.3349373,07300517
52.4688769_13.3320321,07300516
52.5672758_13.4106913,03400723
52.4719532_13.3349367,07300517
52.4228821_13.4865693,08401242
52.59143_13.2901713,12500824
52.553362_13.4676997,03501038
52.4987783_13.3447605,07100101
52.5380347_13.4231379,03701555
52.633556_13.2873276,12400720
52.5103951_13.3785152,01100205
52.4932054_13.4234797,08100310
52.4659996_13.3074811,06100101
52.4296279_13.457071,08300934
52.5522894_13.4060914,03601141
52.5237311_13.6212142,10400938
52.4354414_13.2307257,06400839
52.4354265_13.2307153,06400839
52.503399_13.3844204,02100101
52.5158617_13.4674407,02500728
52.4413501_13.459,08401138
52.3869215_13.400406,07601544
52.521135_13.5872391,10200629
52.478942_13.4294717,08100206
52.4329822_13.5369713,09200715
52.5101551_13.3053783,04300623
52.4421976_13.2979514,06300633
52.4419771_13.2994374,06300633
52.5143565_13.4703868,02500729
52.5003092_13.4418095,02300419
52.4440052_13.2384408,06400838
52.5937254_13.4603373,03300514
52.5104884_13.5050645,11400931
52.4937478_13.4055674,02200210
52.5093242_13.500655,11400929
52.4451368_13.4009675,07501032
52.4482422_13.3394413,06100206
52.5392285_13.4223188,03701555
52.4777122_13.4258398,08100102
52.4981917_13.3194201,04501044
52.5493212_13.3532948,01400942
52.549344_13.3533311,01400942
52.5493163_13.3533382,01400942
52.549355_13.3533691,01400942
52.549169_13.3534617,01400942
52.5493155_13.3533684,01400942
52.5492959_13.3533691,01400942
52.5493085_13.3534106,01400942
52.5492841_13.3534093,01400942
52.5493464_13.3534187,01400942
52.5493163_13.3534556,01400942
52.4695588_13.3286551,07300516
52.50132_13.3274614,04501042
52.4821756_13.4363454,08100314
52.4288664_13.324001,06200421
52.426811_13.3285787,06200422
52.525396_13.3389966,01200522
52.5064467_13.3903797,02100102
52.5502085_13.3528828,01401048
52.5498158_13.3524912,01400942
52.4938789_13.5076646,11401135
52.5562769_13.4811769,03501038
52.5562673_13.4810562,03501038
52.5495814_13.4577752,03500936
52.5534475_13.4506002,03500933
52.4931799_13.3845516,02200209
52.523702_13.3394893,01200522
52.5111718_13.3042349,04300623
52.4261682_13.3306991,06200422
52.4261471_13.3305905,06200422
52.5027554_13.341074,07100101
52.569427_13.4022993,03400722
52.5126808_13.4960938,11300725
52.507083_13.3217347,04300624
52.5065904_13.2943055,04300416
52.5355053_13.4337496,03701660
52.536887_13.4300298,03701658
52.5350719_13.4360833,03601451
52.5349902_13.4363306,03601451
