id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
033005,4157,525,631,146,558,1572,369,163,193,1996,2916,100.0,12.62929997594419,15.179215780611017,3.512148183786384,13.423141688717823,37.8157324993986,8.876593697377917,3.921096944912196,4.642771229251864,48.01539571806591,70.14674043781574
034006,4561,446,630,200,499,1456,600,350,380,2282,2221,100.0,9.778557333918,13.81276035957027,4.385003288752467,10.940583205437404,31.922823942117954,13.1550098662574,7.673755755316816,8.331506248629687,50.03288752466565,48.69546152159614
034007,9387,1024,1297,345,945,3849,964,502,461,4838,5413,100.0,10.908703526153191,13.816980931074891,3.6752956216043464,10.06711409395973,41.00351550015979,10.269521678917652,5.347821455204006,4.911047192926388,51.53936294875893,57.66485565143283
034008,9843,931,981,239,1265,4508,983,458,478,4908,6578,100.0,9.458498425276847,9.966473636086558,2.4281215076704257,12.851772833485725,45.79904500660368,9.986792644518948,4.653052931016966,4.856243015340851,49.86284669308137,66.82921873412577
035009,12481,1252,1415,363,1455,5708,1233,608,447,6172,8627,100.0,10.031247496194215,11.337232593542184,2.908420799615415,11.657719733995673,45.73351494271292,9.879016104478808,4.8714045348930375,3.581443794567743,49.4511657719734,69.12106401730631
035010,3774,362,460,126,484,1501,384,221,236,1840,2635,100.0,9.591944886062533,12.188659247482777,3.338632750397456,12.82458929517753,39.772125066242715,10.174880763116057,5.8558558558558556,6.253312135665076,48.75463698993111,69.81981981981981
036011,11129,769,960,276,1269,5695,1269,565,326,5504,7611,100.0,6.90987510108725,8.62611195974481,2.480007188426633,11.40264174678767,51.172612094527814,11.40264174678767,5.076826309641477,2.9292838529966754,49.45637523587025,68.38889388085182
036012,9486,729,791,219,929,4952,1049,482,335,4842,6235,100.0,7.685009487666034,8.338604258907864,2.3086654016445287,9.79337971747839,52.203246890153906,11.058401855365803,5.081172253847776,3.531520134935695,51.04364326375711,65.72844191440016
036013,8428,567,793,233,860,3994,1215,549,217,4256,5484,100.0,6.7275747508305646,9.409112482202184,2.7645942097769343,10.204081632653061,47.389653535832934,14.416231608922638,6.5140009492168955,2.574750830564784,50.498338870431894,65.0688182249644
036014,11696,1052,1411,457,1647,4890,1078,611,550,5715,8533,100.0,8.99452804377565,12.063953488372094,3.9073187414500685,14.081737346101232,41.809165526675784,9.216826265389876,5.224008207934337,4.7024623803009575,48.86285909712722,72.95656634746922
