id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
03300517,59,19,3,0,0,0,0,10,0,3,0,0,3,0,0,13,7,3,3,9,3,0,0,0,0,9,0,0,100.0,32.20338983050847,5.084745762711865,0.0,0.0,0.0,0.0,16.94915254237288,0.0,5.084745762711865,0.0,0.0,5.084745762711865,0.0,0.0,22.033898305084744,11.864406779661017,5.084745762711865,5.084745762711865,15.254237288135593,5.084745762711865,0.0,0.0,0.0,0.0,15.254237288135593,0.0,0.0
03400618,1175,297,21,28,14,7,15,121,35,0,16,17,55,3,18,186,70,6,54,431,188,27,94,6,25,14,9,114,100.0,25.27659574468085,1.7872340425531916,2.382978723404255,1.1914893617021276,0.5957446808510638,1.276595744680851,10.297872340425531,2.9787234042553195,0.0,1.3617021276595744,1.446808510638298,4.680851063829787,0.2553191489361702,1.5319148936170213,15.829787234042552,5.957446808510639,0.5106382978723404,4.595744680851064,36.68085106382979,16.0,2.297872340425532,8.0,0.5106382978723404,2.127659574468085,1.1914893617021276,0.7659574468085106,9.702127659574469
03400619,2556,764,76,30,75,40,16,223,89,30,30,46,121,12,49,414,138,139,49,740,288,49,204,19,71,25,25,143,100.0,29.890453834115803,2.97339593114241,1.1737089201877933,2.9342723004694835,1.5649452269170578,0.6259780907668232,8.724569640062597,3.482003129890454,1.1737089201877933,1.1737089201877933,1.7996870109546166,4.7339593114241,0.4694835680751174,1.9170579029733958,16.19718309859155,5.39906103286385,5.438184663536776,1.9170579029733958,28.951486697965574,11.267605633802818,1.9170579029733958,7.981220657276995,0.7433489827856025,2.7777777777777777,0.9780907668231612,0.9780907668231612,5.594679186228483
03400620,830,295,19,6,13,25,21,83,27,24,3,32,16,4,6,118,43,23,15,242,81,4,82,7,30,15,21,19,100.0,35.54216867469879,2.289156626506024,0.7228915662650602,1.566265060240964,3.0120481927710845,2.5301204819277108,10.0,3.2530120481927707,2.891566265060241,0.3614457831325301,3.8554216867469884,1.9277108433734942,0.48192771084337355,0.7228915662650602,14.216867469879519,5.1807228915662655,2.7710843373493974,1.8072289156626504,29.156626506024097,9.759036144578314,0.48192771084337355,9.879518072289157,0.8433734939759037,3.614457831325301,1.8072289156626504,2.5301204819277108,2.289156626506024
03400721,3152,1159,111,31,195,94,97,180,56,44,26,105,122,27,26,568,245,171,31,519,110,39,199,18,57,30,103,68,100.0,36.77030456852792,3.521573604060914,0.983502538071066,6.186548223350254,2.982233502538071,3.07741116751269,5.710659898477157,1.7766497461928936,1.3959390862944163,0.8248730964467006,3.3312182741116754,3.8705583756345177,0.8565989847715736,0.8248730964467006,18.02030456852792,7.772842639593909,5.425126903553299,0.983502538071066,16.465736040609137,3.489847715736041,1.237309644670051,6.313451776649746,0.5710659898477157,1.8083756345177664,0.951776649746193,3.267766497461929,2.1573604060913705
03400722,900,332,25,7,42,40,21,92,9,10,0,34,31,18,3,165,44,66,9,138,18,9,41,3,10,3,38,18,100.0,36.888888888888886,2.7777777777777777,0.7777777777777778,4.666666666666667,4.444444444444445,2.3333333333333335,10.222222222222223,1.0,1.1111111111111112,0.0,3.7777777777777777,3.4444444444444446,2.0,0.33333333333333337,18.333333333333332,4.888888888888889,7.333333333333333,1.0,15.333333333333332,2.0,1.0,4.555555555555555,0.33333333333333337,1.1111111111111112,0.33333333333333337,4.222222222222222,2.0
03400723,2164,663,58,34,94,15,46,135,40,64,22,39,80,6,27,320,101,101,21,582,126,27,245,37,104,39,87,72,100.0,30.637707948243992,2.6802218114602585,1.5711645101663587,4.343807763401109,0.6931608133086876,2.1256931608133085,6.238447319778189,1.8484288354898337,2.957486136783734,1.0166358595194085,1.8022181146025877,3.6968576709796674,0.27726432532347506,1.2476894639556377,14.78743068391867,4.66728280961183,4.66728280961183,0.9704251386321626,26.894639556377083,5.822550831792976,1.2476894639556377,11.321626617375232,1.7097966728280962,4.805914972273567,1.8022181146025877,4.020332717190389,3.3271719038817005
03400724,1861,548,37,27,45,18,38,157,38,50,15,32,66,12,14,367,121,172,10,462,90,35,212,15,65,62,21,60,100.0,29.446534121440088,1.9881783987103707,1.4508328855454058,2.418054809242343,0.967221923696937,2.0419129500268673,8.436324556689952,2.0419129500268673,2.6867275658248255,0.8060182697474476,1.7195056421278883,3.5464803868887693,0.6448146157979581,0.7522837184309511,19.72058033315422,6.501880709296078,9.2423428264374,0.537345513164965,24.825362708221384,4.836109618484686,1.8807092960773777,11.391724879097259,0.8060182697474476,3.492745835572273,3.3315421816227833,1.1284255776464267,3.2240730789897905
03400725,1310,372,38,6,39,0,29,110,30,24,21,27,68,15,26,188,53,77,33,399,62,31,175,6,95,15,15,74,100.0,28.396946564885496,2.900763358778626,0.45801526717557256,2.9770992366412212,0.0,2.213740458015267,8.396946564885496,2.2900763358778624,1.8320610687022902,1.6030534351145038,2.0610687022900764,5.190839694656488,1.1450381679389312,1.984732824427481,14.351145038167939,4.0458015267175576,5.877862595419847,2.519083969465649,30.45801526717557,4.732824427480916,2.366412213740458,13.358778625954198,0.45801526717557256,7.251908396946565,1.1450381679389312,1.1450381679389312,5.648854961832061
03400826,1924,533,44,25,67,25,36,142,37,38,7,47,54,18,10,359,164,53,12,646,206,30,168,11,65,15,42,26,100.0,27.7027027027027,2.2869022869022873,1.2993762993762994,3.4823284823284824,1.2993762993762994,1.8711018711018712,7.380457380457381,1.9230769230769231,1.9750519750519753,0.36382536382536385,2.442827442827443,2.806652806652807,0.9355509355509356,0.5197505197505198,18.659043659043657,8.523908523908524,2.754677754677755,0.6237006237006237,33.57588357588357,10.706860706860708,1.5592515592515594,8.731808731808732,0.5717255717255718,3.3783783783783785,0.7796257796257797,2.182952182952183,1.3513513513513513
